job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name
0,3,11.411734024406766,2,3,0,3,1,3,50,12566,1,9,0,291,296,6.98100574072173,1.7749523509116738,14
1,4,11.033194679965911,2,0,0,2,1,9,100,1728,2,1,9,324,361,7.145196134997171,1.6486586255873816,15
2,5,11.935745763398094,2,2,1,17,0,15,0,4999,0,2,2,442,447,7.587817219993427,2.2407096892759584,3
3,16,11.292465808785176,2,3,1,8,1,8,50,11304,3,7,1,357,405,7.20414929203594,2.151762203259462,9
4,1,10.908228625594168,0,0,3,6,2,14,100,6395,2,0,9,470,524,7.5953872788539725,1.8870696490323797,1
5,0,11.724595445890749,0,3,0,7,1,7,50,1604,0,7,7,243,262,6.70808408385307,1.7749523509116738,11
6,17,11.285648382374411,1,2,1,18,2,18,0,9425,0,3,5,363,409,7.568379267836522,1.840549633397487,6
7,16,11.165351835277841,0,0,1,6,0,6,0,8920,2,0,7,158,167,7.1592919047975645,2.028148247292285,4
8,8,11.987356777543116,2,3,0,14,0,14,0,3823,3,7,6,308,313,6.311734809152915,2.2300144001592104,13
9,4,11.538174020556626,2,3,3,1,1,1,0,6342,2,5,6,293,295,7.757906208351747,1.7578579175523736,4
10,6,11.535879982582413,2,3,3,16,1,16,100,6526,0,8,13,394,414,6.953684210870537,2.2925347571405443,14
11,0,11.653096019504241,2,1,0,15,2,15,0,9384,2,15,8,197,216,6.240275845170769,1.916922612182061,15
12,1,11.730895657510441,0,3,0,6,1,6,100,12609,3,5,0,363,377,6.633318433280377,1.6486586255873816,12
13,6,11.138377459496786,2,0,0,13,2,13,0,11324,2,0,3,41,40,7.4127640174265625,2.2082744135228043,4
14,3,11.919203575835404,2,3,2,16,1,16,100,7830,0,6,12,275,315,7.290292882446597,2.2823823856765264,1
15,2,11.275251861871693,1,0,3,18,0,10,0,6186,3,0,1,271,284,7.629975707027789,2.2617630984737906,6
16,17,10.999145481377802,2,0,2,8,0,8,100,12555,1,1,10,402,435,7.090076835776092,1.7578579175523736,12
17,14,12.107019971321893,0,1,0,6,0,6,100,6467,0,15,10,114,139,7.669495251007694,2.163323025660538,0
18,9,11.953114009136778,2,3,0,14,1,14,0,3202,0,9,4,120,134,6.3784261836515865,2.151762203259462,2
